ModelRef,ModelUpdt,Precision,Recall,F-measure
learnresult_new_Rand_500_10-15_MC_fix.dot.kiss,learnresult_new_Rand_500_10-15_MC_fix.dot.kiss,0.943182,0.943182,0.943182
learnresult_new_Rand_500_10-15_MC_fix.dot.kiss,learnresult_old_500_10-15_fix.dot.kiss,0.255814,0.5,0.338462
learnresult_old_500_10-15_fix.dot.kiss,learnresult_new_Rand_500_10-15_MC_fix.dot.kiss,0.5,0.25,0.333333
learnresult_old_500_10-15_fix.dot.kiss,learnresult_old_500_10-15_fix.dot.kiss,0.420455,0.420455,0.420455
ActiveMQ__single_client.dot.kiss,ActiveMQ__single_client.dot.kiss,0.840909,0.840909,0.840909
ActiveMQ__single_client.dot.kiss,VerneMQ__single_client.dot.kiss,0.75,0.784091,0.766667
ActiveMQ__single_client.dot.kiss,emqtt__single_client.dot.kiss,0.679245,0.818182,0.742268
ActiveMQ__single_client.dot.kiss,hbmqtt__single_client.dot.kiss,0.666667,0.818182,0.734694
ActiveMQ__single_client.dot.kiss,mosquitto__single_client.dot.kiss,0.699029,0.818182,0.753927
VerneMQ__single_client.dot.kiss,ActiveMQ__single_client.dot.kiss,0.802326,0.627273,0.704082
VerneMQ__single_client.dot.kiss,VerneMQ__single_client.dot.kiss,0.811321,0.781818,0.796296
VerneMQ__single_client.dot.kiss,emqtt__single_client.dot.kiss,0.790909,0.790909,0.790909
VerneMQ__single_client.dot.kiss,hbmqtt__single_client.dot.kiss,0.809091,0.809091,0.809091
VerneMQ__single_client.dot.kiss,mosquitto__single_client.dot.kiss,0.809091,0.809091,0.809091
emqtt__single_client.dot.kiss,ActiveMQ__single_client.dot.kiss,0.818182,0.6545449999999999,0.727273
emqtt__single_client.dot.kiss,VerneMQ__single_client.dot.kiss,0.790909,0.790909,0.790909
emqtt__single_client.dot.kiss,emqtt__single_client.dot.kiss,0.818182,0.818182,0.818182
emqtt__single_client.dot.kiss,hbmqtt__single_client.dot.kiss,0.836364,0.836364,0.836364
emqtt__single_client.dot.kiss,mosquitto__single_client.dot.kiss,0.8,0.8,0.8
hbmqtt__single_client.dot.kiss,ActiveMQ__single_client.dot.kiss,0.818182,0.6545449999999999,0.727273
hbmqtt__single_client.dot.kiss,VerneMQ__single_client.dot.kiss,0.809091,0.809091,0.809091
hbmqtt__single_client.dot.kiss,emqtt__single_client.dot.kiss,0.836364,0.836364,0.836364
hbmqtt__single_client.dot.kiss,hbmqtt__single_client.dot.kiss,0.8545450000000001,0.8545450000000001,0.8545450000000001
hbmqtt__single_client.dot.kiss,mosquitto__single_client.dot.kiss,0.8545450000000001,0.8545450000000001,0.8545450000000001
mosquitto__single_client.dot.kiss,ActiveMQ__single_client.dot.kiss,0.818182,0.6545449999999999,0.727273
mosquitto__single_client.dot.kiss,VerneMQ__single_client.dot.kiss,0.809091,0.809091,0.809091
mosquitto__single_client.dot.kiss,emqtt__single_client.dot.kiss,0.814815,0.8,0.807339
mosquitto__single_client.dot.kiss,hbmqtt__single_client.dot.kiss,0.8545450000000001,0.8545450000000001,0.8545450000000001
mosquitto__single_client.dot.kiss,mosquitto__single_client.dot.kiss,0.8545450000000001,0.8545450000000001,0.8545450000000001
ActiveMQ__two_client_will_retain.dot.kiss,ActiveMQ__two_client_will_retain.dot.kiss,0.524691,0.524691,0.524691
ActiveMQ__two_client_will_retain.dot.kiss,VerneMQ__two_client_will_retain.dot.kiss,0.49305600000000005,0.43827200000000005,0.464052
