ModelRef|ModelUpdt|Precision|Recall|F-measure
learnresult_new_Rand_500_10-15_MC_fix.dot.kiss|learnresult_new_Rand_500_10-15_MC_fix.dot.kiss|0.943182|0.943182|0.943182
learnresult_new_Rand_500_10-15_MC_fix.dot.kiss|learnresult_old_500_10-15_fix.dot.kiss|0.255814|0.500000|0.338462
learnresult_old_500_10-15_fix.dot.kiss|learnresult_new_Rand_500_10-15_MC_fix.dot.kiss|0.500000|0.250000|0.333333
learnresult_old_500_10-15_fix.dot.kiss|learnresult_old_500_10-15_fix.dot.kiss|0.420455|0.420455|0.420455
ActiveMQ__single_client.dot.kiss|ActiveMQ__single_client.dot.kiss|0.840909|0.840909|0.840909
ActiveMQ__single_client.dot.kiss|VerneMQ__single_client.dot.kiss|0.750000|0.784091|0.766667
ActiveMQ__single_client.dot.kiss|emqtt__single_client.dot.kiss|0.679245|0.818182|0.742268
ActiveMQ__single_client.dot.kiss|hbmqtt__single_client.dot.kiss|0.666667|0.818182|0.734694
ActiveMQ__single_client.dot.kiss|mosquitto__single_client.dot.kiss|0.699029|0.818182|0.753927
VerneMQ__single_client.dot.kiss|ActiveMQ__single_client.dot.kiss|0.802326|0.627273|0.704082
VerneMQ__single_client.dot.kiss|VerneMQ__single_client.dot.kiss|0.811321|0.781818|0.796296
VerneMQ__single_client.dot.kiss|emqtt__single_client.dot.kiss|0.790909|0.790909|0.790909
VerneMQ__single_client.dot.kiss|hbmqtt__single_client.dot.kiss|0.809091|0.809091|0.809091
VerneMQ__single_client.dot.kiss|mosquitto__single_client.dot.kiss|0.809091|0.809091|0.809091
emqtt__single_client.dot.kiss|ActiveMQ__single_client.dot.kiss|0.818182|0.654545|0.727273
emqtt__single_client.dot.kiss|VerneMQ__single_client.dot.kiss|0.790909|0.790909|0.790909
emqtt__single_client.dot.kiss|emqtt__single_client.dot.kiss|0.818182|0.818182|0.818182
emqtt__single_client.dot.kiss|hbmqtt__single_client.dot.kiss|0.836364|0.836364|0.836364
emqtt__single_client.dot.kiss|mosquitto__single_client.dot.kiss|0.800000|0.800000|0.800000
hbmqtt__single_client.dot.kiss|ActiveMQ__single_client.dot.kiss|0.818182|0.654545|0.727273
hbmqtt__single_client.dot.kiss|VerneMQ__single_client.dot.kiss|0.809091|0.809091|0.809091
hbmqtt__single_client.dot.kiss|emqtt__single_client.dot.kiss|0.836364|0.836364|0.836364
hbmqtt__single_client.dot.kiss|hbmqtt__single_client.dot.kiss|0.854545|0.854545|0.854545
hbmqtt__single_client.dot.kiss|mosquitto__single_client.dot.kiss|0.854545|0.854545|0.854545
mosquitto__single_client.dot.kiss|ActiveMQ__single_client.dot.kiss|0.818182|0.654545|0.727273
mosquitto__single_client.dot.kiss|VerneMQ__single_client.dot.kiss|0.809091|0.809091|0.809091
mosquitto__single_client.dot.kiss|emqtt__single_client.dot.kiss|0.814815|0.800000|0.807339
mosquitto__single_client.dot.kiss|hbmqtt__single_client.dot.kiss|0.854545|0.854545|0.854545
mosquitto__single_client.dot.kiss|mosquitto__single_client.dot.kiss|0.854545|0.854545|0.854545
ActiveMQ__two_client_will_retain.dot.kiss|ActiveMQ__two_client_will_retain.dot.kiss|0.524691|0.524691|0.524691
ActiveMQ__two_client_will_retain.dot.kiss|VerneMQ__two_client_will_retain.dot.kiss|0.493056|0.438272|0.464052
ActiveMQ__two_client_will_retain.dot.kiss|emqtt__two_client_will_retain.dot.kiss|0.524691|0.524691|0.524691
ActiveMQ__two_client_will_retain.dot.kiss|hbmqtt__two_client_will_retain.dot.kiss|0.758170|0.716049|0.736508
ActiveMQ__two_client_will_retain.dot.kiss|mosquitto__two_client_will_retain.dot.kiss|0.555556|0.555556|0.555556
VerneMQ__two_client_will_retain.dot.kiss|ActiveMQ__two_client_will_retain.dot.kiss|0.467105|0.464052|0.465574
VerneMQ__two_client_will_retain.dot.kiss|VerneMQ__two_client_will_retain.dot.kiss|0.549020|0.549020|0.549020
VerneMQ__two_client_will_retain.dot.kiss|emqtt__two_client_will_retain.dot.kiss|0.461039|0.464052|0.462541
VerneMQ__two_client_will_retain.dot.kiss|hbmqtt__two_client_will_retain.dot.kiss|0.732026|0.732026|0.732026
VerneMQ__two_client_will_retain.dot.kiss|mosquitto__two_client_will_retain.dot.kiss|0.470588|0.470588|0.470588
emqtt__two_client_will_retain.dot.kiss|ActiveMQ__two_client_will_retain.dot.kiss|0.524691|0.524691|0.524691
emqtt__two_client_will_retain.dot.kiss|VerneMQ__two_client_will_retain.dot.kiss|0.470199|0.438272|0.453674
emqtt__two_client_will_retain.dot.kiss|emqtt__two_client_will_retain.dot.kiss|0.524691|0.524691|0.524691
emqtt__two_client_will_retain.dot.kiss|hbmqtt__two_client_will_retain.dot.kiss|0.758170|0.716049|0.736508
emqtt__two_client_will_retain.dot.kiss|mosquitto__two_client_will_retain.dot.kiss|0.555556|0.555556|0.555556
hbmqtt__two_client_will_retain.dot.kiss|ActiveMQ__two_client_will_retain.dot.kiss|0.716049|0.758170|0.736508
hbmqtt__two_client_will_retain.dot.kiss|VerneMQ__two_client_will_retain.dot.kiss|0.732026|0.732026|0.732026
hbmqtt__two_client_will_retain.dot.kiss|emqtt__two_client_will_retain.dot.kiss|0.716049|0.758170|0.736508
hbmqtt__two_client_will_retain.dot.kiss|hbmqtt__two_client_will_retain.dot.kiss|0.692810|0.692810|0.692810
hbmqtt__two_client_will_retain.dot.kiss|mosquitto__two_client_will_retain.dot.kiss|0.728395|0.771242|0.749206
mosquitto__two_client_will_retain.dot.kiss|ActiveMQ__two_client_will_retain.dot.kiss|0.559006|0.555556|0.557276
mosquitto__two_client_will_retain.dot.kiss|VerneMQ__two_client_will_retain.dot.kiss|0.500000|0.444444|0.470588
mosquitto__two_client_will_retain.dot.kiss|emqtt__two_client_will_retain.dot.kiss|0.559006|0.555556|0.557276
mosquitto__two_client_will_retain.dot.kiss|hbmqtt__two_client_will_retain.dot.kiss|0.771242|0.728395|0.749206
mosquitto__two_client_will_retain.dot.kiss|mosquitto__two_client_will_retain.dot.kiss|0.561728|0.561728|0.561728
server_097.dot.kiss|server_097.dot.kiss|0.932773|0.932773|0.932773
server_097.dot.kiss|server_097c.dot.kiss|0.917526|0.747899|0.824074
server_097.dot.kiss|server_097e.dot.kiss|0.791667|0.638655|0.706977
server_097.dot.kiss|server_098f.dot.kiss|0.791667|0.638655|0.706977
server_097.dot.kiss|server_098l.dot.kiss|0.675325|0.436975|0.530612
server_097.dot.kiss|server_098m.dot.kiss|0.814286|0.478992|0.603175
server_097.dot.kiss|server_098s.dot.kiss|0.785714|0.462185|0.582011
server_097.dot.kiss|server_098u.dot.kiss|0.753086|0.512605|0.610000
server_097.dot.kiss|server_098za.dot.kiss|0.809524|0.428571|0.560440
server_097.dot.kiss|server_100.dot.kiss|0.814286|0.478992|0.603175
server_097.dot.kiss|server_100f.dot.kiss|0.785714|0.462185|0.582011
server_097.dot.kiss|server_100h.dot.kiss|0.753086|0.512605|0.610000
server_097.dot.kiss|server_100m.dot.kiss|0.809524|0.428571|0.560440
server_097.dot.kiss|server_101.dot.kiss|0.642105|0.512605|0.570094
server_097.dot.kiss|server_101h.dot.kiss|0.809524|0.428571|0.560440
server_097.dot.kiss|server_101k.dot.kiss|0.767857|0.361345|0.491429
server_097.dot.kiss|server_102.dot.kiss|0.816327|0.336134|0.476190
server_097.dot.kiss|server_110pre1.dot.kiss|0.666667|0.235294|0.347826
server_097c.dot.kiss|server_097.dot.kiss|0.787611|0.908163|0.843602
server_097c.dot.kiss|server_097c.dot.kiss|0.938776|0.938776|0.938776
server_097c.dot.kiss|server_097e.dot.kiss|0.840426|0.806122|0.822917
server_097c.dot.kiss|server_098f.dot.kiss|0.840426|0.806122|0.822917
server_097c.dot.kiss|server_098l.dot.kiss|0.688312|0.540816|0.605714
server_097c.dot.kiss|server_098m.dot.kiss|0.842857|0.602041|0.702381
server_097c.dot.kiss|server_098s.dot.kiss|0.800000|0.571429|0.666667
server_097c.dot.kiss|server_098u.dot.kiss|0.771084|0.653061|0.707182
server_097c.dot.kiss|server_098za.dot.kiss|0.857143|0.551020|0.670807
