2025-04-13 09:33:49 INFO Experiment |Starting round 1
2025-04-13 09:33:49 INFO Experiment |Learning
2025-04-13 09:33:49 INFO Experiment |Searching for counterexample
2025-04-13 09:33:49 INFO Experiment |a  highLevel 
2025-04-13 09:33:49 INFO Experiment |Starting round 2
2025-04-13 09:33:49 INFO Experiment |Learning
2025-04-13 09:33:49 INFO Experiment |Searching for counterexample
2025-04-13 09:33:49 INFO Experiment |a  highLevel  isRunning  highLevel 
2025-04-13 09:33:49 INFO Experiment |Starting round 3
2025-04-13 09:33:49 INFO Experiment |Learning
2025-04-13 09:33:49 INFO Experiment |Searching for counterexample
2025-04-13 09:33:49 INFO Experiment |receiveMsg  levelMsg  highLevel 
2025-04-13 09:33:49 INFO Experiment |Starting round 4
2025-04-13 09:33:49 INFO Experiment |Learning
2025-04-13 09:33:49 INFO Experiment |Searching for counterexample
2025-04-13 09:33:49 INFO Experiment |a  highLevel  isRunning  end  highLevel 
2025-04-13 09:33:49 INFO Experiment |Starting round 5
2025-04-13 09:33:49 INFO Experiment |Learning
2025-04-13 09:33:49 INFO Experiment |Searching for counterexample
2025-04-13 09:33:49 INFO Experiment |a  highLevel  isReady  setReady  highLevel 
2025-04-13 09:33:49 INFO Experiment |Starting round 6
2025-04-13 09:33:49 INFO Experiment |Learning
2025-04-13 09:33:49 INFO Experiment |Searching for counterexample
2025-04-13 09:33:49 INFO Experiment |a  highLevel  isReady  setReady  isNotReady  highLevel 
2025-04-13 09:33:49 INFO Experiment |Starting round 7
2025-04-13 09:33:49 INFO Experiment |Learning
2025-04-13 09:33:49 INFO Experiment |Searching for counterexample
2025-04-13 09:33:49 INFO Experiment |a  highLevel  isReady  setReady  isReady  pumpStart  highLevel 
2025-04-13 09:33:49 INFO Experiment |Starting round 8
2025-04-13 09:33:49 INFO Experiment |Learning
2025-04-13 09:33:49 INFO Experiment |Searching for counterexample
2025-04-13 09:33:49 INFO Experiment |a  highLevel  isReady  setReady  isReady  pumpStart  setRunning  highLevel 
2025-04-13 09:33:49 INFO Experiment |Starting round 9
2025-04-13 09:33:49 INFO Experiment |Learning
2025-04-13 09:33:49 INFO Experiment |Searching for counterexample
2025-04-13 09:33:49 INFO Infer_LearnLib |Rounds: 9
2025-04-13 09:33:49 INFO Infer_LearnLib |MQ [Resets]: 733
2025-04-13 09:33:49 INFO Infer_LearnLib |MQ [Symbols]: 3451
2025-04-13 09:33:49 INFO Infer_LearnLib |EQ [Resets]: 54642
2025-04-13 09:33:49 INFO Infer_LearnLib |EQ [Symbols]: 302099
